,maximum,minimum
ATPM,8.39,8.39
EX_cJB00034_LPAREN_e_RPAREN_,0.0,0.0
EX_cPY00016_LPAREN_e_RPAREN_,0.0,0.0
EX_cPY00116_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00001_LPAREN_e_RPAREN_,72.397639,29.12967
EX_cpd00007_LPAREN_e_RPAREN_,-20.0,-20.0
EX_cpd00009_LPAREN_e_RPAREN_,6.474847,6.474847
EX_cpd00011_LPAREN_e_RPAREN_,36.492991,-9.765497
EX_cpd00012_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00013_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00020_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00021_LPAREN_e_RPAREN_,-0.001551,-0.001551
EX_cpd00023_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00024_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00027_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00029_LPAREN_e_RPAREN_,38.711659,0.0
EX_cpd00030_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00033_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00034_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00035_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00036_LPAREN_e_RPAREN_,22.120948,0.0
EX_cpd00039_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00041_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00048_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00051_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00053_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00054_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00058_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00060_LPAREN_e_RPAREN_,-1.882798,-1.882798
EX_cpd00063_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00064_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00065_LPAREN_e_RPAREN_,-0.861514,-0.861514
EX_cpd00066_LPAREN_e_RPAREN_,-2.056888,-10.0
EX_cpd00067_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00069_LPAREN_e_RPAREN_,0.647888,-7.295224
EX_cpd00072_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00073_LPAREN_e_RPAREN_,41.663352,41.663352
EX_cpd00075_LPAREN_e_RPAREN_,10.0,0.0
EX_cpd00079_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00080_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00082_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00084_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00089_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00092_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00098_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00099_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00100_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00105_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00106_LPAREN_e_RPAREN_,25.807773,0.0
EX_cpd00107_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00108_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00117_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00118_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00119_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00121_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00122_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00129_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00130_LPAREN_e_RPAREN_,25.807773,0.0
EX_cpd00132_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00137_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00139_LPAREN_e_RPAREN_,0.001551,0.001551
EX_cpd00141_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00142_LPAREN_e_RPAREN_,22.958319,0.0
EX_cpd00147_LPAREN_c_RPAREN_,-0.0,0.0
EX_cpd00149_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00154_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00156_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00159_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00161_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00162_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00164_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00176_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00179_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00182_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00184_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00205_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00209_LPAREN_e_RPAREN_,-0.0,-10.0
EX_cpd00210_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00211_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00221_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00224_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00226_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00244_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00246_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00249_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00254_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00264_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00268_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00277_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00280_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00281_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00305_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00306_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00307_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00308_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00309_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00314_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00322_LPAREN_e_RPAREN_,-10.0,-10.0
EX_cpd00331_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00367_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00380_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00381_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00386_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00395_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00412_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00423_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00438_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00489_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00528_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00531_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00540_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00550_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00581_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00588_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00609_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00635_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00637_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00652_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00653_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00654_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00797_LPAREN_e_RPAREN_,22.958319,0.0
EX_cpd00851_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00971_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd01012_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd01015_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd01017_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd01048_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd01092_LPAREN_e_RPAREN_,-0.0,0.0
